Item_ID,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_6,Effect_7,Effect_8,Effect_9,Effect_10,Effect_11,Effect_12,Effect_13,Effect_14,Effect_15,Effect_16,Effect_17,Effect_18,Effect_19,Effect_20,Effect_21,Effect_22,Effect_23,Effect_24,Effect_25,Effect_26,Effect_27,Effect_28,Effect_29,Effect_30,Effect_31,Effect_32,Effect_33,Effect_34,Effect_35,Effect_36,Effect_37,Effect_38,Effect_39,Effect_40
1473,100_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,111_1_1,115_2_3,112_3_6,157_1_30,155_1_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,119_10_10,123_10_10,100_17_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,126_16_25,118_16_25,119_16_25,125_16_25,241_2_5,242_2_5,243_2_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,123_21_30,176_3_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,118_15_15,119_15_15,124_15_15,125_15_15,123_15_15,126_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,100_11_15,126_11_30,119_10_10,157_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,118_10_10,119_10_10,123_10_10,124_10_10,125_10_10,126_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,118_5_5,119_5_5,125_5_5,124_5_5,126_5_5,123_5_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,112_2_2,118_10_10,124_20_20,152_20_20,154_20_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,124_10_10,126_20_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,119_20_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,123_20_20,119_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,112_1_3,118_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,124_16_25,112_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,111_1_1,128_1_1,117_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,124_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,126_11_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,124_11_20,123_21_30,153_11_50,182_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,118_6_10,125_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,125_6_10,123_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,112_2_4,115_2_4,119_11_15,155_21_30,157_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,123_11_15,126_11_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,124_11_15,126_11_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,124_11_15,123_11_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,123_11_20,176_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,112_3_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,99_5_8,154_10_10,123_5_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,100_6_11,125_11_20,119_11_20,795_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,10_7_7,983_-1_-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,100_9_99,123_9_9,118_9_9,812_14_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,620_11_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,710_1_1,616_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,621_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,621_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,621_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,621_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,701_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,98_1_1,96_1_1,99_1_1,97_1_1,124_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,701_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,701_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,701_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,701_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,701_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,98_1_1,96_1_1,99_1_1,97_1_1,124_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,615_11_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,701_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,701_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,701_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,701_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,701_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,701_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,701_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,701_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,701_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,701_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,701_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,701_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,701_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,701_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,117_1_1,182_2_2,125_31_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,98_1_1,96_1_1,99_1_1,97_1_1,124_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,98_1_1,96_1_1,99_1_1,97_1_1,124_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,98_1_1,96_1_1,99_1_1,97_1_1,124_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,98_1_1,96_1_1,99_1_1,97_1_1,124_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,98_1_1,96_1_1,99_1_1,97_1_1,124_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,98_1_1,96_1_1,99_1_1,97_1_1,124_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,620_17_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,620_19_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,100_26_35,125_11_40,118_11_40,152_11_40,154_11_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,615_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,615_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,615_12_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,615_13_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,615_14_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,615_18_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,615_19_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,123_11_20,118_11_20,119_11_20,124_11_20,126_11_20,125_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,710_1_1,616_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,710_1_1,616_187_187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,710_1_1,616_188_188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,710_1_1,616_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,710_1_1,616_189_189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,710_1_1,616_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,710_1_1,616_186_186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,111_1_1,124_11_20,112_3_6,154_1_70,155_1_70,157_1_70,152_1_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,100_11_15,182_1_1,123_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,119_16_25,126_16_25,157_6_15,152_6_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,118_16_25,123_16_25,154_6_15,155_6_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,118_16_25,119_16_25,155_6_15,152_6_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,125_11_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,620_18_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,620_27_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,126_1_1,157_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,118_1_1,155_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,119_1_1,156_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,123_1_1,153_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,124_1_1,154_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,125_1_1,152_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,10_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,100_11_20,119_15_15,125_15_15,124_10_10,157_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,100_13_22,119_17_17,125_17_17,124_11_11,157_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,100_15_24,119_20_20,125_20_20,124_12_12,157_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,100_17_26,119_22_22,125_22_22,124_13_13,157_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,100_11_30,118_21_30,119_6_10,123_6_10,155_1_25,156_1_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,100_13_33,118_26_35,119_11_15,123_6_10,155_1_20,156_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,615_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,615_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,615_31_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,615_32_32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,100_15_36,118_31_40,119_16_20,123_6_10,155_1_30,156_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,100_17_39,118_36_45,119_16_20,123_6_10,155_1_35,156_1_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,241_3_5,242_3_5,243_3_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,240_3_5,244_3_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,112_3_5,123_11_20,155_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,154_11_20,157_11_20,241_6_10,242_6_10,243_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,124_16_25,126_16_25,125_16_25,138_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,128_1_1,182_1_1,241_4_8,242_4_8,243_4_8,154_11_20,155_11_20,157_11_20,152_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,126_21_30,125_21_30,138_6_10,117_1_1,241_3_5,242_3_5,243_3_5,154_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,112_3_8,241_3_8,242_3_8,243_3_8,240_3_8,244_3_8,154_31_50,152_31_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,117_1_2,124_11_20,126_21_40,123_21_40,112_4_8,115_4_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,117_1_1,128_1_1,182_1_1,240_3_6,244_3_6,156_1_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,126_21_35,112_6_8,117_1_2,241_6_15,242_6_15,243_6_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,158_51_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,158_151_250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,158_151_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,119_16_35,156_6_15,212_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,158_201_300,118_16_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,158_251_400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,158_601_800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,158_1001_1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,158_251_300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,158_501_1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,157_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,800_?_?,124_20_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,139_201_400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,139_501_1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,620_14_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,620_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,620_16_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,118_16_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,126_26_40,213_3_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,125_51_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,710_1_1,616_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,197_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,124_20_20,176_10_10,811_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,811_?_?,118_25_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,811_1_1,157_25_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,800_?_?,808_64_64,806_0_0,807_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,156_2_11,125_2_61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,110_100_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,110_50_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,99_11_14,126_21_40,174_201_300,125_41_60,211_3_5,157_40_40,124_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,197_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,206_1388_1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,206_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,800_?_?,808_64_64,806_0_0,807_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,983_64_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,110_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,110_50_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,611_1_1,110_300_300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,110_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,110_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,611_1_1,110_400_400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,110_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,110_45_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,606_1_1,110_400_400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,110_90_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,110_170_170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,110_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,110_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,110_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,110_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,110_90_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,110_170_170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,110_600_600,606_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,110_65_65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110_100_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,110_65_65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,110_100_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,110_150_150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,110_200_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,110_700_700,606_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,110_40_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,110_70_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,110_400_400,611_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,606_1_1,110_500_500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,110_100_100,611_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,110_100_100,606_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,611_1_1,110_700_700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,110_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,110_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,110_200_200,606_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,110_40_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,110_70_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,110_400_400,606_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,110_150_150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,110_200_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,110_1000_1000,611_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,110_500_500,611_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,96_1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,96_2_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,96_1_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,96_1_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,96_1_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,96_1_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,96_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,96_1_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,96_1_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,110_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,214_6_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,115_1_10,983_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,111_1_1,157_21_70,155_21_70,154_21_70,152_21_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,138_6_35,124_16_25,125_21_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,805_64_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,100_4_6,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,100_11_15,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,97_8_17,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,100_11_20,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,100_16_30,138_15_15,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,96_9_18,138_5_5,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,98_8_12,138_5_5,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,99_4_8,138_5_5,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,99_6_10,97_6_10,138_20_20,795_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,100_3_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,100_3_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,110_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,110_70_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,110_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,110_25_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,110_35_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,110_20_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,110_80_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,110_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,110_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,110_100_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,110_500_500,607_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,110_75_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,110_95_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,110_150_150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,110_1000_1000,607_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,110_40_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,110_75_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,110_110_110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
